dac_v,adc_a,adc_b,i_feed,q_feed
-6.640000000000000346e-01,-9.582499999999999352e-02,3.784200000000000064e-02,-9.069800000000000084e-02,3.979499999999999704e-02
-6.620000000000000329e-01,-8.886700000000000155e-02,4.504400000000000071e-02,-8.251999999999999613e-02,4.992699999999999916e-02
-6.600000000000000311e-01,-7.116699999999999415e-02,3.564500000000000307e-02,-7.861300000000000232e-02,3.601100000000000134e-02
-6.580000000000000293e-01,-6.323199999999999654e-02,3.869600000000000123e-02,-6.774900000000000366e-02,3.845200000000000007e-02
-6.560000000000000275e-01,-6.213400000000000173e-02,1.574700000000000058e-02,-5.456500000000000239e-02,1.770000000000000046e-02
-6.540000000000000258e-01,-4.980500000000000205e-02,2.917499999999999954e-02,-5.163600000000000134e-02,2.770999999999999852e-02
-6.520000000000000240e-01,-4.931599999999999873e-02,1.061999999999999923e-02,-4.638699999999999768e-02,8.788999999999999937e-03
-6.500000000000000222e-01,-4.650900000000000173e-02,1.354999999999999954e-02,-4.247999999999999693e-02,1.061999999999999923e-02
-6.480000000000000204e-01,-4.418899999999999911e-02,3.588899999999999729e-02,-4.382300000000000084e-02,3.491199999999999859e-02
-6.460000000000000187e-01,-3.869600000000000123e-02,2.331499999999999892e-02,-3.955100000000000282e-02,2.490200000000000052e-02
-6.440000000000000169e-01,-3.808600000000000180e-02,1.098999999999999934e-03,-3.869600000000000123e-02,0.000000000000000000e+00
-6.420000000000000151e-01,-4.016100000000000225e-02,1.013200000000000038e-02,-4.040500000000000341e-02,8.911000000000000518e-03
-6.400000000000000133e-01,-3.601100000000000134e-02,4.760999999999999607e-03,-3.759799999999999948e-02,4.638999999999999894e-03
-6.380000000000000115e-01,-3.137199999999999711e-02,2.026400000000000076e-02,-3.222699999999999870e-02,1.843300000000000147e-02
-6.360000000000000098e-01,-3.185999999999999943e-02,9.766000000000000375e-03,-3.662100000000000077e-02,8.545000000000000512e-03
-6.340000000000000080e-01,-2.612300000000000039e-02,2.551300000000000096e-02,-3.222699999999999870e-02,2.172899999999999832e-02
-6.320000000000000062e-01,-3.295900000000000218e-02,-1.343000000000000010e-03,-2.807600000000000026e-02,-3.540000000000000178e-03
-6.300000000000000044e-01,-3.405799999999999800e-02,8.540000000000000499e-04,-2.844199999999999853e-02,2.075000000000000022e-03
-6.280000000000000027e-01,-2.539100000000000038e-02,9.398999999999999369e-03,-1.953099999999999975e-02,8.179000000000000506e-03
-6.260000000000000009e-01,-1.977500000000000091e-02,2.111800000000000135e-02,-2.331499999999999892e-02,2.160600000000000021e-02
-6.239999999999999991e-01,-2.172899999999999832e-02,1.428199999999999956e-02,-2.404799999999999993e-02,1.647900000000000059e-02
-6.219999999999999973e-01,-2.954100000000000129e-02,-1.061999999999999923e-02,-2.404799999999999993e-02,-9.277000000000000524e-03
-6.199999999999999956e-01,-2.062999999999999903e-02,6.836000000000000063e-03,-2.111800000000000135e-02,5.249000000000000193e-03
-6.179999999999999938e-01,-2.294900000000000065e-02,-7.202000000000000068e-03,-2.819800000000000084e-02,-5.126999999999999613e-03
-6.159999999999999920e-01,-2.160600000000000021e-02,3.052000000000000025e-03,-2.050799999999999845e-02,4.150000000000000043e-03
-6.139999999999999902e-01,-2.380399999999999877e-02,2.441000000000000027e-03,-1.855499999999999858e-02,5.858999999999999625e-03
-6.119999999999999885e-01,-1.770000000000000046e-02,3.052000000000000025e-03,-1.818799999999999931e-02,3.660000000000000059e-04
-6.099999999999999867e-01,-2.099600000000000077e-02,-1.061999999999999923e-02,-2.429200000000000109e-02,-9.277000000000000524e-03
-6.079999999999999849e-01,-2.001999999999999960e-02,3.418000000000000031e-03,-2.453599999999999878e-02,3.418000000000000031e-03
-6.059999999999999831e-01,-2.172899999999999832e-02,-1.281700000000000027e-02,-2.172899999999999832e-02,-1.464799999999999956e-02
-6.039999999999999813e-01,-1.770000000000000046e-02,1.074199999999999981e-02,-1.965300000000000033e-02,1.342800000000000070e-02
-6.019999999999999796e-01,-1.818799999999999931e-02,4.028000000000000330e-03,-2.197299999999999948e-02,6.348000000000000344e-03
-5.999999999999999778e-01,-2.270499999999999949e-02,-1.550299999999999942e-02,-1.721200000000000160e-02,-1.513699999999999941e-02
-5.979999999999999760e-01,-2.343800000000000050e-02,-1.281700000000000027e-02,-1.623499999999999943e-02,-1.318399999999999954e-02
-5.959999999999999742e-01,-1.892100000000000032e-02,3.052000000000000025e-03,-1.647900000000000059e-02,2.686000000000000019e-03
-5.939999999999999725e-01,-2.258299999999999891e-02,-1.171900000000000025e-02,-1.818799999999999931e-02,-1.123000000000000040e-02
-5.919999999999999707e-01,-2.258299999999999891e-02,-1.196299999999999968e-02,-1.879899999999999974e-02,-1.037599999999999981e-02
-5.899999999999999689e-01,-1.928699999999999859e-02,-5.370999999999999906e-03,-1.330600000000000012e-02,-7.689999999999999787e-03
-5.879999999999999671e-01,-1.892100000000000032e-02,1.037599999999999981e-02,-1.550299999999999942e-02,1.049800000000000039e-02
-5.859999999999999654e-01,-1.843300000000000147e-02,-8.179000000000000506e-03,-2.197299999999999948e-02,-7.080000000000000356e-03
-5.839999999999999636e-01,-1.428199999999999956e-02,1.000999999999999980e-02,-1.904300000000000090e-02,8.300999999999999351e-03
-5.819999999999999618e-01,-1.391599999999999955e-02,4.879999999999999898e-04,-1.806599999999999873e-02,2.075000000000000022e-03
-5.799999999999999600e-01,-1.611299999999999885e-02,1.098599999999999924e-02,-1.782200000000000104e-02,1.013200000000000038e-02
-5.779999999999999583e-01,-1.965300000000000033e-02,-1.232899999999999968e-02,-1.672399999999999928e-02,-1.257300000000000084e-02
-5.759999999999999565e-01,-1.684599999999999986e-02,-7.689999999999999787e-03,-2.062999999999999903e-02,-7.323999999999999781e-03
-5.739999999999999547e-01,-1.660199999999999870e-02,-1.709000000000000016e-03,-1.928699999999999859e-02,-2.197000000000000168e-03
-5.719999999999999529e-01,-1.672399999999999928e-02,-1.391599999999999955e-02,-2.185099999999999890e-02,-1.416000000000000071e-02
