freq_hz,adc_b
2.109591967528305948e+06,5.032335139232135273e-07
2.113406781212805305e+06,9.004000752806188887e-07
2.117221594897305127e+06,1.598306095706326844e-07
2.121036408581804950e+06,3.735057693292100805e-08
2.124851222266304307e+06,1.026235093910059131e-06
2.128666035950804129e+06,8.075086561306203728e-07
2.132480849635303486e+06,1.802340291256624700e-07
2.136295663319803309e+06,8.534866572227822096e-07
2.140110477004303131e+06,1.756810345273202960e-07
2.143925290688802488e+06,1.400226766083229411e-07
2.147740104373302311e+06,4.586131842114592451e-07
2.151554918057802133e+06,1.809247816082531287e-08
2.155369731742301490e+06,4.265104404149161579e-07
2.159184545426801313e+06,6.230409559183789783e-07
2.162999359111300670e+06,1.640026729061075359e-06
2.166814172795800492e+06,1.141177679479403923e-06
2.170628986480300315e+06,1.523373018760788745e-07
2.174443800164799672e+06,1.906871613457822952e-07
2.178258613849299494e+06,4.184506909740462323e-07
2.182073427533799317e+06,1.226263186528434514e-06
2.185888241218298674e+06,1.452030740888893895e-06
2.189703054902798496e+06,7.866888051424130970e-07
2.193517868587297853e+06,3.139220515102914752e-07
2.197332682271797676e+06,6.759390188328486801e-07
2.201147495956297498e+06,1.194706534022449929e-06
2.204962309640796855e+06,4.868501973770409622e-07
2.208777123325296678e+06,7.758604274236611848e-07
2.212591937009796500e+06,1.268475754809331766e-07
